=== Sheet: 场景优先级总览 (18 rows x 5 cols) ===
排名 | 场景名称 | 出现频次 | 素材类型 | 场景说明
1 | 症状表演/情景再现 | 6125 | 演员表演短视频 + 图片 | 患者出现某种症状时的画面——捂胸口、扶额头、弯腰咳嗽等
2 | 生活场景 | 4864 | 实拍短视频 + 图片 | 日常生活中可直接实拍的画面
3 | 药品/器械展示 | 3818 | 产品图片 + 特写短视频 | 展示具体的药物外观、器械实物
4 | 药物作用机制 | 3387 | 3D动画视频 | 讲解某种药在体内如何起效的过程
5 | 检查报告/结果展示 | 2767 | 图片 + 屏幕录制 | 展示各类检查的画面或报告单
6 | 食物/饮食展示 | 2741 | 实拍图片 | 展示推荐吃或不能吃的食物
7 | 器官/部位3D展示 | 2090 | 3D解剖图/截图 | 指着某个器官讲它的位置和结构
8 | 医患对话/出镜 | 2016 | 医生出镜视频 | 医生面对镜头讲话、开头结尾口播
9 | 免疫/感染机制 | 1725 | 3D动画视频 | 免疫细胞如何工作、病毒如何入侵
10 | 神经调控机制 | 1201 | 3D动画视频 | 交感/副交感/植物神经如何影响身体
11 | 血管内部机制讲解 | 1150 | 3D动画视频（最核心素材） | 讲解血管内壁发生了什么——斑块形成、血栓、狭窄、支架植入等
12 | 心脏工作机制 | 1110 | 3D动画视频 | 心脏如何泵血、心肌如何缺血、心电传导等
13 | 数据/对比展示 | 739 | 图表/信息图 | 研究数据、风险对比、统计图表
14 | 血脂代谢机制 | 547 | 3D动画视频 | 胆固醇/甘油三酯在体内怎么运转
15 | 血糖/胰岛素机制 | 529 | 3D动画视频 | 血糖怎么升高、胰岛素怎么工作
16 | 肿瘤/癌变机制 | 483 | 3D动画视频 | 细胞如何癌变、结节如何恶化
17 | 血压调控机制 | 362 | 3D动画视频 | 血压为什么升高/波动

=== Sheet: 子场景素材清单 (141 rows x 5 cols) ===
父场景 | 素材类型 | 子场景 | 频次 | 素材描述（给剪辑师）
症状表演/情景再现 | 演员表演短视频 + 图片 | 头痛/扶额 | 1441 | 演员扶额、皱眉、揉太阳穴
 |  | 焦虑/紧张 | 829 | 患者坐立不安、咬指甲、眉头紧锁
 |  | 偏头痛发作 | 740 | 单侧头痛、畏光、躺在床上
 |  | 咳嗽 | 452 | 咳嗽动作、捂嘴、弯腰咳
 |  | 心慌/心悸 | 401 | 手捂胸口、表情痛苦、心跳加速
 |  | 胸痛 | 344 | 突然捂胸、面色苍白、弯腰
 |  | 腹泻 | 288 | 跑向卫生间、捂肚子
 |  | 胸闷气短 | 281 | 深呼吸、解开领口、胸口不适
 |  | 头晕 | 257 | 扶墙、摇晃、眼前发黑
 |  | 失眠 | 215 | 翻来覆去、看手机、盯天花板
 |  | 恶心呕吐 | 388 | 干呕、捂嘴、趴在马桶边
 |  | 出汗 | 154 | 额头冒汗、擦汗
 |  | 乏力/疲劳 | 242 | 躺着不想动、没精神
 |  | 呼吸困难 | 60 | 张嘴喘气、撑着膝盖
 |  | 晕倒 | 54 | 身体摇晃倒地
 |  |  |  | 
生活场景 | 实拍短视频 + 图片 | 吃药 | 1174 | 拿药、倒水、仰头吞药片
 |  | 体检 | 672 | 医院体检中心、排队、抽血
 |  | 喝酒 | 540 | 饭局碰杯、倒酒、酒桌

