Total rows: 141
父场景 | 素材类型 | 子场景 | 频次 | 素材描述（给剪辑师）
症状表演/情景再现 | 演员表演短视频 + 图片 | 头痛/扶额 | 1441 | 演员扶额、皱眉、揉太阳穴
 |  | 焦虑/紧张 | 829 | 患者坐立不安、咬指甲、眉头紧锁
 |  | 偏头痛发作 | 740 | 单侧头痛、畏光、躺在床上
 |  | 咳嗽 | 452 | 咳嗽动作、捂嘴、弯腰咳
 |  | 心慌/心悸 | 401 | 手捂胸口、表情痛苦、心跳加速
 |  | 胸痛 | 344 | 突然捂胸、面色苍白、弯腰
 |  | 腹泻 | 288 | 跑向卫生间、捂肚子
 |  | 胸闷气短 | 281 | 深呼吸、解开领口、胸口不适
 |  | 头晕 | 257 | 扶墙、摇晃、眼前发黑
 |  | 失眠 | 215 | 翻来覆去、看手机、盯天花板
 |  | 恶心呕吐 | 388 | 干呕、捂嘴、趴在马桶边
 |  | 出汗 | 154 | 额头冒汗、擦汗
 |  | 乏力/疲劳 | 242 | 躺着不想动、没精神
 |  | 呼吸困难 | 60 | 张嘴喘气、撑着膝盖
 |  | 晕倒 | 54 | 身体摇晃倒地
 |  |  |  | 
生活场景 | 实拍短视频 + 图片 | 吃药 | 1174 | 拿药、倒水、仰头吞药片
 |  | 体检 | 672 | 医院体检中心、排队、抽血
 |  | 喝酒 | 540 | 饭局碰杯、倒酒、酒桌
 |  | 熬夜 | 531 | 深夜看手机、黑眼圈、凌晨时钟
 |  | 运动锻炼 | 528 | 跑步、健身房、公园锻炼
 |  | 抽烟/吸烟 | 671 | 吸烟动作、烟灰缸、掐灭烟
 |  | 戒烟 | 256 | 扔掉烟盒、拒绝递烟
 |  | 喝水 | 219 | 倒水、喝水、水杯
 |  | 跑步 | 169 | 户外跑步、跑步机
 |  | 量血压/测血压 | 310 | 袖带缠臂、看血压计数字
 |  | 住院 | 152 | 病床、输液、住院走廊
 |  | 减肥 | 524 | 称体重、跑步、健身
 |  | 做饭炒菜 | 74 | 厨房切菜、翻炒、油烟
 |  | 游泳 | 46 | 泳池、游泳动作
 |  |  |  | 
药品/器械展示 | 产品图片 + 特写短视频 | 心脏支架实物 | 1126 | 金属支架放大图、支架在导管上
 |  | 降压药药盒/药片 | 995 | 各类降压药外包装、药片特写
 |  | 阿司匹林 | 582 | 药盒、肠溶片特写
 |  | 布洛芬 | 355 | 药盒、胶囊
 |  | 血压计 | 182 | 电子血压计、水银血压计
 |  | 对乙酰氨基酚 | 171 | 药盒、片剂
 |  | 他汀类药物 | 99 | 各种他汀药盒
 |  | 药物球囊 | 98 | 球囊导管实物
 |  | 血糖仪 | 67 | 采血笔、试纸、血糖仪
 |  | 呼吸机 | 66 | 无创呼吸机、面罩
 |  | 心脏起搏器 | 50 | 起搏器实物、X光片下的起搏器
 |  |  |  | 
药物作用机制 | 3D动画视频 | 他汀降脂过程 | 884 | 抑制肝脏HMG-CoA还原酶→减少胆固醇合成
 |  | 降压药扩血管 | 995 | 血管平滑肌松弛→管腔扩大→血压下降
 |  | 阿司匹林抗血小板 | 582 | 血小板聚集被抑制→血栓不易形成
 |  | 副作用/不良反应 | 714 | 药物对胃黏膜/肝脏/肌肉的影响
 |  | 布洛芬止痛原理 | 355 | 抑制前列腺素→减轻炎症和疼痛
 |  | 胰岛素降糖 | 462 | 胰岛素与受体结合→细胞摄取葡萄糖
 |  |  |  | 
检查报告/结果展示 | 图片 + 屏幕录制 | 心电图波形 | 794 | 正常/异常心电图、标注ST段T波
 |  | CT/影像片子 | 442 | 肺CT、头颅CT、胸部CT
 |  | 心脏造影画面 | 486 | 导管室荧光屏、冠脉树显影
 |  | 肾功能化验单 | 258 | 肌酐、尿素氮数值
 |  | 血常规化验单 | 142 | 白细胞、红细胞、血红蛋白
 |  | 肝功能化验单 | 140 | 转氨酶、胆红素
 |  | 核磁共振影像 | 114 | 脑部/脊柱核磁片子
 |  | B超图像 | 71 | 心脏彩超、腹部B超
 |  | 体检报告 | 27 | 体检报告封面、异常项标红
 |  |  |  | 
食物/饮食展示 | 实拍图片 | 鱼类 | 680 | 清蒸鱼、鱼肉特写、深海鱼
 |  | 水果 | 412 | 各类水果摆盘、切开的水果
 |  | 牛奶 | 328 | 倒牛奶、玻璃杯牛奶
 |  | 蔬菜 | 258 | 绿叶蔬菜、菜市场蔬菜
 |  | 鸡蛋 | 174 | 煮鸡蛋、煎蛋、蛋黄特写
 |  | 坚果 | 118 | 混合坚果、核桃仁
 |  | 粗粮 | 92 | 玉米、红薯、燕麦
 |  | 垃圾食品（反面） | 189 | 油炸食品、奶茶、甜食、零食
 |  | 红肉白肉对比 | 56 | 猪牛羊 vs 鸡鸭鱼虾
 |  |  |  | 
器官/部位3D展示 | 3D解剖图/截图 | 甲状腺位置和结构 | 352 | 颈部甲状腺3D图
 |  | 颈动脉走行 | 335 | 颈部血管走行3D图
 |  | 冠状动脉分布 | 288 | 心脏表面冠脉树3D图
 |  | 胰腺位置 | 251 | 腹腔脏器中胰腺位置
 |  | 颈椎/腰椎结构 | 214 | 脊柱侧面图、椎间盘
 |  | 膝关节结构 | 127 | 膝关节剖面图
 |  | 前列腺位置 | 129 | 盆腔前列腺3D图
 |  | 心脏四腔结构 | 240 | 心房心室、瓣膜标注
 |  | 主动脉走行 | 119 | 主动脉弓、分支
 |  |  |  | 
医患对话/出镜 | 医生出镜视频 | 开场自我介绍 | 1471 | '我是鹤立烟雨''协和烟雨'
 |  | 引出话题 | 235 | '今天我们来聊''给大家讲'
